industry,project,aiCategory,objective,baselineMetric,baselineValue,postAiValue,improvement,annualizedBenefit,annualizedCost,benefitDriver,linkedCostId,paybackPeriod,roi,npv,irr,strategicPillar,businessUnit,owner,status,validationSource,notes
Healthcare,Artemis AI Hunter,RAG,Improve CSAT,Tickets per Agent,29.69,22.55,24.05,2893546.41,445987.63,Revenue Uplift,C042,2,548.8,8822901.64,34.17,Innovation,Sales,Shakira,Pipeline,ERP,Synthetic sample data for ROI modeling
Manufacturing,Artemis AI Hunter,Agentic,Reduce OOS,Tickets per Agent,12.81,15.36,-19.91,2623257.52,1318196.17,Faster TTM,C038,6,99,4704454.1,26.44,Innovation,Data Science,Vedant,Active,Web Analytics,Synthetic sample data for ROI modeling
Energy,RAG Knowledge Copilot,LLM,Lower costs,Tickets per Agent,17.82,22.22,-24.69,1025518.09,701898.84,Churn Reduction,C094,8,46.11,1166574.97,64.88,Revenue Growth,Risk & Fraud,Vedant,On Hold,ERP,Synthetic sample data for ROI modeling
Telecom,Claims Auto-Adjudication,RAG,Lower costs,Forecast Accuracy %,7.03,7.98,13.51,595104.54,729244.8,Revenue Uplift,C018,15,-18.39,-483545.62,170.05,Risk,Finance,Jin,Scaling,Billing,Synthetic sample data for ROI modeling
CPG,WMS-Light Optimizer,Automation,Improve CSAT,Out-of-Stock %,2.66,2.99,-12.41,2093667.34,1009984.52,Churn Reduction,C008,6,107.3,3906434.04,97.14,Experience,HR,Wei Wei,Active,CRM,Synthetic sample data for ROI modeling
Energy,WMS-Light Optimizer,Computer Vision,Lower costs,AHT (mins),14.71,10.4,29.3,501897.42,1483535.99,Faster TTM,C096,35,-66.17,-3538587.36,82.91,Experience,HR,Wei Wei,Pilot,ERP,Synthetic sample data for ROI modeling
Energy,Integrity Token Accounting,Automation,Reduce OOS,Out-of-Stock %,42.82,28.37,33.75,1714297.73,1247441.73,Churn Reduction,C008,9,37.43,1682911.4,164.95,Innovation,HR,Jin,Pilot,Billing,Synthetic sample data for ROI modeling
Healthcare,RAG Knowledge Copilot,Agentic,Improve CSAT,AHT (mins),43.58,43.19,0.89,2701723.59,1217820.82,Faster TTM,C058,5,121.85,5349137.39,95.28,Experience,Supply Chain,Shakira,Pipeline,Ops Logs,Synthetic sample data for ROI modeling
Logistics,WMS-Light Optimizer,Agentic,Reduce OOS,Forecast Accuracy %,49.35,59.05,19.66,1756018.23,649953.64,Faster TTM,C006,4,170.18,3987115.31,133.56,Revenue Growth,Data Science,Hanim,Pipeline,Billing,Synthetic sample data for ROI modeling
Manufacturing,Artemis AI Hunter,LLM,Improve CSAT,Fraud Rate %,39.46,36.95,6.36,2978926.97,686592.27,Productivity,C049,3,333.87,8263353.57,167.15,Experience,Data Science,Wei Wei,On Hold,ERP,Synthetic sample data for ROI modeling
Energy,Redpulse Demand Intelligence,Agentic,Reduce handling time,Out-of-Stock %,24.8,17.41,29.8,2937236.91,30123.11,Cost Avoidance,C107,1,9650.78,10479494.64,28.52,Experience,HR,Hanim,On Hold,Web Analytics,Synthetic sample data for ROI modeling
Retail,Sales Copilot,RAG,Improve forecast,AHT (mins),17.99,24.29,-35.02,2188820.64,72520.54,Faster TTM,C015,1,2918.21,7628788.24,127.33,Revenue Growth,Sales,Jin,Pipeline,CRM,Synthetic sample data for ROI modeling
Media,EnterGrow Campaign Optimizer,RAG,Lower costs,Fraud Rate %,42.79,27.34,36.11,2234596.18,672470.15,Revenue Uplift,C052,4,232.3,5631114.74,108.66,Efficiency,HR,Vedant,Pilot,Ops Logs,Synthetic sample data for ROI modeling
CPG,Redpulse Demand Intelligence,LLM,Improve forecast,AHT (mins),59.17,60.18,-1.71,1270002.61,114912.51,Churn Reduction,C036,1,1005.19,4163841.3,172.02,Experience,HR,Hanim,Pipeline,Billing,Synthetic sample data for ROI modeling
Energy,Claims Auto-Adjudication,Automation,Improve forecast,Fraud Rate %,26.15,18.81,28.07,1160557.56,818444.19,Churn Reduction,C097,8,41.8,1233242.13,62.35,Risk,Marketing,Hanim,Pipeline,Ops Logs,Synthetic sample data for ROI modeling
Manufacturing,Claims Auto-Adjudication,Automation,Lower costs,AHT (mins),24.53,19.72,19.61,1024275.83,1385283.5,Revenue Uplift,C011,16,-26.06,-1301351.86,156.31,Innovation,Sales,Sourabh,Active,Web Analytics,Synthetic sample data for ROI modeling
Energy,EnterGrow Campaign Optimizer,Agentic,Reduce handling time,Out-of-Stock %,44.01,46.08,-4.7,1464212.91,1362873.42,Revenue Uplift,C112,11,7.44,365306.18,71.99,Efficiency,Sales,Wei Wei,Pipeline,Web Analytics,Synthetic sample data for ROI modeling
Retail,Sales Copilot,RAG,Reduce handling time,Out-of-Stock %,20.65,17.07,17.34,1425438.86,554907.84,Faster TTM,C084,5,156.88,3138069.5,65.54,Experience,Supply Chain,Sourabh,Scaling,Billing,Synthetic sample data for ROI modeling
Retail,Redpulse Demand Intelligence,Computer Vision,Reduce OOS,Conversion Rate,34.63,26.91,-22.29,480472,841134.56,Productivity,C034,21,-42.88,-1300107.81,115.52,Risk,Marketing,Jin,Active,ERP,Synthetic sample data for ROI modeling
Manufacturing,Sales Copilot,RAG,Lower costs,Fraud Rate %,56.72,49.35,12.99,2301913.85,1450599.69,Productivity,C063,8,58.69,3068797.02,124.46,Experience,Marketing,Wei Wei,Active,ERP,Synthetic sample data for ROI modeling
Telecom,RAG Knowledge Copilot,LLM,Lower costs,Fraud Rate %,57.52,58.62,-1.91,2525252.06,1419152.46,Revenue Uplift,C010,7,77.94,3987241.52,128.57,Experience,Marketing,Wei Wei,Pilot,CRM,Synthetic sample data for ROI modeling
Government,Artemis AI Hunter,Agentic,Reduce handling time,Out-of-Stock %,28.45,18.45,35.15,1931299.35,934366.06,Productivity,C120,6,106.7,3593721.4,99.9,Revenue Growth,AI Ops,Shakira,On Hold,Web Analytics,Synthetic sample data for ROI modeling
Banking,EnterGrow Campaign Optimizer,Automation,Improve CSAT,Forecast Accuracy %,33.07,27.43,-17.05,1531537.3,1019198.6,Churn Reduction,C090,8,50.27,1846866.35,149.96,Revenue Growth,Data Science,Shakira,Pilot,ERP,Synthetic sample data for ROI modeling
Retail,WMS-Light Optimizer,Computer Vision,Improve forecast,Tickets per Agent,6.58,9,-36.78,1404043.35,1485593.72,Revenue Uplift,C032,13,-5.49,-293970.83,60.01,Revenue Growth,Data Science,Hanim,Scaling,Web Analytics,Synthetic sample data for ROI modeling
Healthcare,RAG Knowledge Copilot,Agentic,Improve CSAT,Conversion Rate,42.77,28.49,-33.39,2543722.89,1181955.06,Revenue Uplift,C083,6,115.21,4908868.27,112.71,Innovation,AI Ops,Jin,Pilot,Ops Logs,Synthetic sample data for ROI modeling
Logistics,WMS-Light Optimizer,Agentic,Increase conversion,Fraud Rate %,55.68,73.47,-31.95,1712354.1,289547.89,Revenue Uplift,C005,2,491.39,5128897.97,156.82,Efficiency,IT / Platform,Jin,Scaling,CRM,Synthetic sample data for ROI modeling
QSR,Artemis AI Hunter,Automation,Reduce handling time,Out-of-Stock %,50.41,45.94,8.87,2694751.01,591173.17,Revenue Uplift,C043,3,355.83,7582927.34,139.66,Innovation,Risk & Fraud,Sourabh,Pipeline,Web Analytics,Synthetic sample data for ROI modeling
Retail,Integrity Token Accounting,Computer Vision,Lower costs,Out-of-Stock %,57.38,52.64,8.26,2331987,960331.35,Productivity,C004,5,142.83,4944511.64,146.45,Experience,Sales,Vedant,On Hold,Web Analytics,Synthetic sample data for ROI modeling
Manufacturing,Artemis AI Hunter,Automation,Improve CSAT,Tickets per Agent,6.97,7.63,-9.47,2404262.76,133422.36,Productivity,C092,1,1701.99,8185871.43,66.54,Efficiency,Finance,Vedant,Active,CRM,Synthetic sample data for ROI modeling
Insurance,EnterGrow Campaign Optimizer,Computer Vision,Reduce OOS,Forecast Accuracy %,46.16,31.47,-31.82,307526.84,687044.42,Productivity,C056,27,-55.24,-1368075.94,110.98,Revenue Growth,AI Ops,Sourabh,Active,Ops Logs,Synthetic sample data for ROI modeling
Insurance,Redpulse Demand Intelligence,RAG,Increase conversion,Forecast Accuracy %,26,31.81,22.35,2188289.34,1360181.17,Faster TTM,C072,7,60.88,2985144.62,176.62,Innovation,Marketing,Wei Wei,Scaling,ERP,Synthetic sample data for ROI modeling
Telecom,WMS-Light Optimizer,Computer Vision,Improve forecast,Tickets per Agent,10.46,7.68,26.58,864087.52,739241.19,Cost Avoidance,C039,10,16.89,450043.08,36.92,Efficiency,Supply Chain,Shakira,On Hold,ERP,Synthetic sample data for ROI modeling
Logistics,Integrity Token Accounting,LLM,Improve forecast,Conversion Rate,57.03,49.38,-13.41,1879566.95,1296742.51,Productivity,C103,8,44.95,2100951.67,93.23,Innovation,Marketing,Vedant,Active,Ops Logs,Synthetic sample data for ROI modeling
Government,Sales Copilot,RAG,Improve forecast,AHT (mins),57.95,79.68,-37.5,909772.05,958531.13,Churn Reduction,C089,13,-5.09,-175765.57,175,Risk,Finance,Vedant,Scaling,Billing,Synthetic sample data for ROI modeling
Insurance,Sales Copilot,Automation,Lower costs,AHT (mins),41.54,43.2,-4,2861363.6,1415888,Cost Avoidance,C060,6,102.09,5210616.04,57.5,Revenue Growth,Finance,Wei Wei,Scaling,ERP,Synthetic sample data for ROI modeling
Energy,WMS-Light Optimizer,LLM,Improve forecast,Fraud Rate %,10.94,10.27,6.12,1162122.91,1486283.41,Productivity,C058,15,-21.81,-1168526.06,99.28,Innovation,HR,Wei Wei,Scaling,Ops Logs,Synthetic sample data for ROI modeling
Banking,Redpulse Demand Intelligence,Automation,Lower costs,Fraud Rate %,55.04,37.84,31.25,782281.36,548638.01,Revenue Uplift,C086,8,42.59,842231.99,125.28,Innovation,Finance,Vedant,Scaling,CRM,Synthetic sample data for ROI modeling
Banking,Integrity Token Accounting,Computer Vision,Reduce handling time,Out-of-Stock %,45.32,47.42,-4.63,2078610.01,682523.36,Faster TTM,C029,4,204.55,5032579.93,85.63,Innovation,Marketing,Vedant,Pipeline,Web Analytics,Synthetic sample data for ROI modeling
Insurance,WMS-Light Optimizer,RAG,Increase conversion,Conversion Rate,50.22,59.47,18.42,1077569.52,696615.64,Productivity,C044,8,54.69,1373253.48,57.06,Risk,Supply Chain,Sourabh,Scaling,Web Analytics,Synthetic sample data for ROI modeling
CPG,Integrity Token Accounting,Computer Vision,Increase conversion,Fraud Rate %,8.67,11.09,-27.91,1961511.26,1205073.94,Churn Reduction,C087,7,62.77,2726787.25,169.14,Innovation,Marketing,Shakira,Pilot,Billing,Synthetic sample data for ROI modeling
Healthcare,Claims Auto-Adjudication,RAG,Reduce handling time,Tickets per Agent,38.53,28.86,25.1,1989058.34,68058.6,Churn Reduction,C051,1,2822.57,6924774.15,120.19,Experience,IT / Platform,Hanim,Scaling,CRM,Synthetic sample data for ROI modeling
Government,Sales Copilot,LLM,Improve forecast,Fraud Rate %,48.91,31.79,35,350168.54,816911.29,Churn Reduction,C112,28,-57.14,-1682503.16,81.7,Experience,Data Science,Vedant,Scaling,Ops Logs,Synthetic sample data for ROI modeling
Energy,Redpulse Demand Intelligence,Automation,Reduce OOS,Out-of-Stock %,24.77,17.13,30.84,1088355.53,935609.95,Cost Avoidance,C059,10,16.33,550613.63,151.13,Innovation,IT / Platform,Sourabh,Pilot,Billing,Synthetic sample data for ROI modeling
Insurance,Sales Copilot,Computer Vision,Increase conversion,AHT (mins),23.65,16.86,28.71,1195966.64,228354.27,Churn Reduction,C077,2,423.73,3488026.04,84.48,Experience,HR,Wei Wei,Pilot,Ops Logs,Synthetic sample data for ROI modeling
Telecom,RAG Knowledge Copilot,Computer Vision,Reduce handling time,AHT (mins),20.25,19.46,3.9,208153.22,1428966.88,Churn Reduction,C046,82,-85.43,-4400760.03,100.11,Experience,HR,Shakira,Scaling,Web Analytics,Synthetic sample data for ROI modeling
Energy,RAG Knowledge Copilot,RAG,Improve CSAT,Tickets per Agent,30.34,20.21,33.39,141039.08,350281.02,Churn Reduction,C098,30,-59.74,-754270.37,30.07,Innovation,Service,Jin,Scaling,Ops Logs,Synthetic sample data for ROI modeling
Government,RAG Knowledge Copilot,Automation,Lower costs,Conversion Rate,35.22,28.68,-18.57,1652163.24,824513.98,Productivity,C047,6,100.38,2983490.36,142.3,Innovation,Sales,Hanim,Pipeline,ERP,Synthetic sample data for ROI modeling
QSR,EnterGrow Campaign Optimizer,RAG,Improve forecast,Forecast Accuracy %,52.01,34.83,-33.03,2602606.89,1169056.68,Faster TTM,C016,5,122.62,5167627.68,61.73,Risk,IT / Platform,Wei Wei,Scaling,ERP,Synthetic sample data for ROI modeling
Media,Artemis AI Hunter,LLM,Reduce handling time,Conversion Rate,35.06,35.97,2.6,1810730.17,502389.08,Cost Avoidance,C022,3,260.42,4716276.83,134.13,Innovation,Service,Shakira,Pipeline,ERP,Synthetic sample data for ROI modeling
Manufacturing,EnterGrow Campaign Optimizer,Computer Vision,Improve CSAT,AHT (mins),42.68,30.14,29.38,481418.16,1247010.66,Productivity,C042,31,-61.39,-2759789.62,143.03,Experience,Marketing,Shakira,Active,Web Analytics,Synthetic sample data for ROI modeling
Manufacturing,RAG Knowledge Copilot,Agentic,Improve CSAT,Conversion Rate,25.37,30.44,19.98,2099375.67,569379.98,Cost Avoidance,C113,3,268.71,5515292.05,172.29,Innovation,AI Ops,Wei Wei,Pipeline,Web Analytics,Synthetic sample data for ROI modeling
Energy,Redpulse Demand Intelligence,Agentic,Lower costs,Tickets per Agent,14.63,13.81,5.6,674961.83,501226.1,Faster TTM,C035,9,34.66,626278.43,68.96,Innovation,Marketing,Shakira,Scaling,Billing,Synthetic sample data for ROI modeling
Energy,EnterGrow Campaign Optimizer,Agentic,Increase conversion,Fraud Rate %,47.47,45.94,3.22,416499.68,258025.68,Productivity,C110,7,61.42,571263.3,95.76,Efficiency,Marketing,Wei Wei,Active,ERP,Synthetic sample data for ROI modeling
QSR,Integrity Token Accounting,Computer Vision,Improve forecast,Conversion Rate,23.57,31.18,32.29,538298.98,947766.3,Churn Reduction,C051,21,-43.2,-1476038.05,137.53,Experience,Data Science,Wei Wei,Pipeline,CRM,Synthetic sample data for ROI modeling
Retail,RAG Knowledge Copilot,Agentic,Reduce handling time,Out-of-Stock %,15.12,17.3,-14.42,77396.5,531771.87,Productivity,C090,82,-85.45,-1637921.52,43.69,Efficiency,Supply Chain,Sourabh,Pilot,Web Analytics,Synthetic sample data for ROI modeling
Insurance,Integrity Token Accounting,Agentic,Improve forecast,Forecast Accuracy %,53.1,37.69,-29.02,2331708.43,1314883.51,Churn Reduction,C097,7,77.33,3665426.27,124.44,Revenue Growth,HR,Shakira,Pipeline,Ops Logs,Synthetic sample data for ROI modeling
Energy,Artemis AI Hunter,RAG,Improve forecast,Fraud Rate %,14.36,17.21,-19.85,2763687.67,1037685.1,Revenue Uplift,C079,5,166.33,6221852.99,158.29,Revenue Growth,Marketing,Sourabh,On Hold,Web Analytics,Synthetic sample data for ROI modeling
CPG,Claims Auto-Adjudication,Computer Vision,Reduce handling time,AHT (mins),18.06,12.05,33.28,1682520.06,1088739.97,Revenue Uplift,C077,8,54.54,2140444.34,69.16,Risk,Sales,Shakira,On Hold,Ops Logs,Synthetic sample data for ROI modeling
Retail,Claims Auto-Adjudication,Computer Vision,Improve CSAT,Conversion Rate,47.46,58.61,23.49,756056.18,191296.9,Faster TTM,C050,3,295.23,2035830.81,102.44,Revenue Growth,HR,Sourabh,Active,Billing,Synthetic sample data for ROI modeling
Telecom,Claims Auto-Adjudication,Automation,Reduce OOS,Forecast Accuracy %,33.69,24.87,-26.18,1439493.15,132662.96,Revenue Uplift,C099,1,985.08,4710830.37,116.04,Risk,Sales,Sourabh,Pipeline,Web Analytics,Synthetic sample data for ROI modeling
Healthcare,WMS-Light Optimizer,Automation,Reduce OOS,Tickets per Agent,42.71,28.44,33.41,1632866.21,250203.65,Revenue Uplift,C079,2,552.61,4984189.09,37.96,Innovation,Sales,Jin,On Hold,Billing,Synthetic sample data for ROI modeling
Manufacturing,Integrity Token Accounting,Computer Vision,Improve CSAT,Tickets per Agent,44.34,56.63,-27.72,220822.53,1388825.94,Faster TTM,C012,75,-84.1,-4210390.9,42.98,Innovation,AI Ops,Vedant,Pilot,CRM,Synthetic sample data for ROI modeling
Banking,Artemis AI Hunter,Agentic,Reduce handling time,Tickets per Agent,57.27,58.32,-1.83,2359811.95,407389.27,Cost Avoidance,C093,2,479.25,7038046.81,82.64,Revenue Growth,AI Ops,Vedant,Scaling,Billing,Synthetic sample data for ROI modeling
Healthcare,Integrity Token Accounting,Computer Vision,Improve CSAT,Out-of-Stock %,38.4,38.28,0.31,1556806.54,761924.76,Cost Avoidance,C008,6,104.33,2865370.92,112.87,Efficiency,Service,Sourabh,On Hold,CRM,Synthetic sample data for ROI modeling
Retail,EnterGrow Campaign Optimizer,Agentic,Increase conversion,AHT (mins),4.67,4.16,10.92,2764668.31,1398461.11,Faster TTM,C023,6,97.69,4924871.2,157.91,Experience,Sales,Vedant,Pilot,Web Analytics,Synthetic sample data for ROI modeling
Government,Redpulse Demand Intelligence,Computer Vision,Increase conversion,Out-of-Stock %,23.62,23.66,-0.17,2710725.98,354197.96,Revenue Uplift,C023,2,665.31,8494756.13,104.94,Experience,Data Science,Hanim,Active,Billing,Synthetic sample data for ROI modeling
CPG,Integrity Token Accounting,Automation,Reduce OOS,Conversion Rate,23.4,19.5,-16.67,2364296.29,943508.35,Faster TTM,C095,5,150.59,5121622.55,96.91,Experience,Sales,Wei Wei,On Hold,ERP,Synthetic sample data for ROI modeling
Telecom,EnterGrow Campaign Optimizer,RAG,Increase conversion,AHT (mins),33.41,37.04,-10.87,2095709.38,1427710.64,Productivity,C002,8,46.79,2407985.96,25.23,Risk,Data Science,Jin,On Hold,ERP,Synthetic sample data for ROI modeling
Manufacturing,RAG Knowledge Copilot,Agentic,Reduce handling time,Fraud Rate %,18.23,11.58,36.48,732844.09,791644.85,Cost Avoidance,C109,13,-7.43,-211963.58,133.63,Experience,Data Science,Shakira,Pipeline,Ops Logs,Synthetic sample data for ROI modeling
Telecom,Claims Auto-Adjudication,Agentic,Lower costs,Out-of-Stock %,5.61,6.34,-13.01,435589.44,409961.63,Productivity,C038,11,6.25,92382.52,73.83,Risk,Risk & Fraud,Hanim,Active,ERP,Synthetic sample data for ROI modeling
Insurance,Sales Copilot,LLM,Lower costs,Conversion Rate,11.01,8.05,-26.88,1424862.58,203086.69,Churn Reduction,C053,2,601.6,4404228.65,80.53,Experience,Service,Hanim,Active,CRM,Synthetic sample data for ROI modeling
Insurance,Artemis AI Hunter,Computer Vision,Improve CSAT,Fraud Rate %,36.99,28.56,22.79,2576891.15,159539.03,Cost Avoidance,C019,1,1515.21,8714013.39,63.47,Experience,HR,Sourabh,Active,Billing,Synthetic sample data for ROI modeling
Telecom,EnterGrow Campaign Optimizer,RAG,Reduce OOS,Out-of-Stock %,45.39,36.31,20,1413027.58,1195869.37,Revenue Uplift,C103,10,18.16,782806.75,43.83,Efficiency,Marketing,Jin,Scaling,Billing,Synthetic sample data for ROI modeling
Energy,Integrity Token Accounting,Automation,Lower costs,Forecast Accuracy %,55.21,36.44,-34,2991626.21,1356181.72,Churn Reduction,C026,5,120.59,5895411.38,93.73,Revenue Growth,Risk & Fraud,Sourabh,Pipeline,Web Analytics,Synthetic sample data for ROI modeling
Banking,Artemis AI Hunter,Automation,Reduce OOS,Fraud Rate %,24.91,15.53,37.66,2065478.1,547066.3,Cost Avoidance,C023,3,277.56,5473534.72,165.79,Risk,Supply Chain,Jin,Pipeline,Ops Logs,Synthetic sample data for ROI modeling
Media,Sales Copilot,Computer Vision,Reduce OOS,Tickets per Agent,53.2,52.31,1.67,308778.58,227423.13,Faster TTM,C050,9,35.77,293268.19,55.92,Efficiency,HR,Sourabh,Scaling,Billing,Synthetic sample data for ROI modeling
Logistics,RAG Knowledge Copilot,Computer Vision,Lower costs,Out-of-Stock %,20.65,16.86,18.35,126885.75,348054.78,Cost Avoidance,C077,33,-63.54,-797264.86,163.84,Revenue Growth,Supply Chain,Shakira,Active,Ops Logs,Synthetic sample data for ROI modeling
Retail,Artemis AI Hunter,Agentic,Reduce handling time,Fraud Rate %,15.99,16.42,-2.69,2384149.78,107465.27,Churn Reduction,C095,1,2118.53,8206938.14,179.44,Innovation,Finance,Vedant,Pilot,ERP,Synthetic sample data for ROI modeling
Retail,Redpulse Demand Intelligence,Computer Vision,Lower costs,Conversion Rate,42.8,37.72,-11.87,1724571.53,855585.61,Productivity,C019,6,101.57,3132499.76,54.18,Innovation,Service,Jin,Scaling,CRM,Synthetic sample data for ROI modeling
Insurance,EnterGrow Campaign Optimizer,LLM,Lower costs,AHT (mins),3.16,3.1,1.9,1028615.28,322159.97,Churn Reduction,C079,4,219.29,2546613.29,45.23,Risk,AI Ops,Sourabh,Pilot,Ops Logs,Synthetic sample data for ROI modeling
Government,Artemis AI Hunter,Agentic,Lower costs,Forecast Accuracy %,57.71,51.87,-10.12,2828673.48,889374.58,Cost Avoidance,C051,4,218.05,6990738.52,77.17,Efficiency,Marketing,Wei Wei,Scaling,Web Analytics,Synthetic sample data for ROI modeling
Energy,Redpulse Demand Intelligence,LLM,Improve CSAT,Out-of-Stock %,42.23,56.72,-34.31,2371625.79,1006659.21,Productivity,C029,5,135.59,4920399.04,151.24,Risk,Service,Jin,Pilot,CRM,Synthetic sample data for ROI modeling
Government,Claims Auto-Adjudication,Automation,Increase conversion,AHT (mins),36.94,49.38,-33.68,2904218.47,968478.99,Productivity,C029,4,199.87,6977907.61,41.14,Efficiency,Risk & Fraud,Wei Wei,Pipeline,ERP,Synthetic sample data for ROI modeling
CPG,Redpulse Demand Intelligence,LLM,Improve CSAT,Conversion Rate,49.66,56.41,13.59,2201393.54,683779.15,Churn Reduction,C043,4,221.95,5470660.24,66.11,Revenue Growth,Risk & Fraud,Vedant,Pipeline,CRM,Synthetic sample data for ROI modeling
Banking,Claims Auto-Adjudication,RAG,Improve CSAT,Tickets per Agent,58.21,76.12,-30.77,1504591.88,543065.97,Productivity,C049,4,177.06,3466085.72,83.18,Innovation,Sales,Jin,Scaling,CRM,Synthetic sample data for ROI modeling
Banking,WMS-Light Optimizer,Agentic,Improve forecast,Forecast Accuracy %,57.2,37.72,-34.06,551810.35,262334.13,Revenue Uplift,C049,6,110.35,1043496.99,36.63,Risk,IT / Platform,Shakira,Scaling,CRM,Synthetic sample data for ROI modeling
Manufacturing,Artemis AI Hunter,Automation,Reduce OOS,AHT (mins),5.11,4.42,13.5,2924475.34,1053365.14,Faster TTM,C053,4,177.63,6744933.52,136.92,Risk,Service,Vedant,Pilot,CRM,Synthetic sample data for ROI modeling
Banking,Claims Auto-Adjudication,Automation,Lower costs,Tickets per Agent,10.91,9.7,11.09,1311437.57,1240248.53,Productivity,C038,11,5.74,256620.56,121.89,Efficiency,Data Science,Sourabh,Pilot,ERP,Synthetic sample data for ROI modeling
Energy,WMS-Light Optimizer,Agentic,Reduce OOS,Conversion Rate,19.88,18.25,-8.2,1492835.6,415881.49,Productivity,C085,3,258.96,3882178.55,124.49,Efficiency,Risk & Fraud,Hanim,Active,ERP,Synthetic sample data for ROI modeling
Logistics,EnterGrow Campaign Optimizer,Computer Vision,Reduce OOS,Tickets per Agent,17.28,21.94,-26.97,1714527.43,1134546.83,Revenue Uplift,C020,8,51.12,2090700.26,128.46,Risk,HR,Hanim,On Hold,ERP,Synthetic sample data for ROI modeling
Healthcare,EnterGrow Campaign Optimizer,RAG,Lower costs,Tickets per Agent,58.01,66.69,-14.96,2812266.24,1325439.46,Revenue Uplift,C074,6,112.18,5359677.79,98.82,Experience,AI Ops,Shakira,On Hold,Ops Logs,Synthetic sample data for ROI modeling
Media,Artemis AI Hunter,Agentic,Reduce OOS,AHT (mins),57.05,41.86,26.63,675075.97,211124.35,Productivity,C025,4,219.75,1672441.76,90.62,Efficiency,Marketing,Shakira,Active,Billing,Synthetic sample data for ROI modeling
Government,Integrity Token Accounting,Agentic,Reduce OOS,Out-of-Stock %,25.05,21.57,13.89,864792.42,1377813.82,Faster TTM,C059,19,-37.23,-1849327.33,26.92,Innovation,HR,Hanim,Pipeline,Web Analytics,Synthetic sample data for ROI modeling
Telecom,Artemis AI Hunter,Automation,Lower costs,Out-of-Stock %,45.99,62.17,-35.18,2778538.09,1174828.43,Faster TTM,C073,5,136.51,5781014.42,146.79,Risk,Finance,Vedant,Scaling,Web Analytics,Synthetic sample data for ROI modeling
Media,RAG Knowledge Copilot,Agentic,Reduce handling time,Forecast Accuracy %,25.37,27.77,9.46,2058397.95,82204.24,Cost Avoidance,C052,1,2404,7123736.06,162.88,Efficiency,AI Ops,Wei Wei,Scaling,Billing,Synthetic sample data for ROI modeling
CPG,EnterGrow Campaign Optimizer,Computer Vision,Improve forecast,Forecast Accuracy %,18.26,18.14,-0.66,2103739.39,1459432.55,Cost Avoidance,C013,8,44.15,2322581.96,60.33,Experience,Risk & Fraud,Vedant,Scaling,Ops Logs,Synthetic sample data for ROI modeling
