industry,category,subcategory,description,costType,vendor,department,modelService,cloudRegion,environment,usageUnit,quantity,unitCost,monthlyCost,annualizedCost,billingAccount,contractId,startDate,endDate,owner,tags,notes
Energy,Cloud Compute,GPU/TPU,Energy - Cloud Compute GPU/TPU cost line,Variable,AWS,Risk & Fraud,Mixtral 8x7B,Singapore,Prod,Tokens,1508466.65,0.00001,15.08,180.96,BA-353-Si,C038,2025-01-26,2025-12-26,Sourabh,"Agentic, Security, Cloud, Pilot",Synthetic sample data for template robustness
Media,Storage,Object,Media - Storage Object cost line,Fixed,Databricks,Service,-,Tokyo,Prod,Requests,481.9,0.10804,52.06,624.72,BA-896-To,C039,2025-04-15,2025-09-23,Vedant,"AI, Compliance",Synthetic sample data for template robustness
Manufacturing,Platform License,Tuning Studio,Manufacturing - Platform License Tuning Studio cost line,Fixed,Anthropic,Sales,-,Frankfurt,Prod,Seat,21,644.98,13544.58,162534.96,BA-813-Fr,C040,2025-04-09,2025-10-23,Wei Wei,"Cloud, AI, Agentic, Compliance",Synthetic sample data for template robustness
Logistics,Model/API,Embeddings,Logistics - Model/API Embeddings cost line,Fixed,Snowflake,AI Ops,Claude 3 Opus,Singapore,Stage,Minutes,318.16,0.12448,39.6,475.2,BA-824-Si,C041,2025-01-20,2025-09-08,Jin,"SG, Compliance, Pilot, Prod",Synthetic sample data for template robustness
CPG,Platform License,Tuning Studio,CPG - Platform License Tuning Studio cost line,Variable,Azure,IT / Platform,-,Sydney,Dev,Seat,3,733.37,2200.11,26401.32,BA-561-Sy,C042,2025-02-01,2025-12-10,Hanim,"Prod, FinOps, AI, Security",Synthetic sample data for template robustness
Government,Human,MLE,Government - Human MLE cost line,Fixed,Azure,Risk & Fraud,-,-,-,FTE,11,735.16,8086.76,97041.12,BA-710-XX,C043,2025-03-31,2026-03-11,Vedant,"AI, Security, SG, Cloud",Synthetic sample data for template robustness
CPG,Human,MLE,CPG - Human MLE cost line,Fixed,UiPath,Supply Chain,-,-,-,FTE,15,1992.69,29890.35,358684.2,BA-195-XX,C044,2025-02-07,2025-08-02,Hanim,"Security, Compliance, FinOps, Pilot",Synthetic sample data for template robustness
CPG,Professional Services,Support,CPG - Professional Services Support cost line,Variable,Snowflake,Risk & Fraud,-,Virginia,Prod,Seat,11,911.94,10031.34,120376.08,BA-564-Vi,C045,2025-02-04,2025-08-21,Vedant,"Cloud, Security",Synthetic sample data for template robustness
Retail,Professional Services,Support,Retail - Professional Services Support cost line,Fixed,AWS,Marketing,-,Tokyo,Prod,Seat,16,727.42,11638.72,139664.64,BA-703-To,C046,2025-04-08,2025-12-18,Shakira,"Cloud, Security, Agentic",Synthetic sample data for template robustness
Media,Data Platform,Data Warehouse,Media - Data Platform Data Warehouse cost line,Fixed,Cohere,AI Ops,-,Tokyo,Stage,Tokens,1948589.89,0.00001,19.49,233.88,BA-666-To,C047,2025-02-07,2025-12-02,Jin,"Pilot, Cloud, Prod, AI",Synthetic sample data for template robustness
Logistics,Human,Product Manager,Logistics - Human Product Manager cost line,Variable,Databricks,Supply Chain,-,-,-,FTE,6,2415.47,14492.82,173913.84,BA-358-XX,C048,2025-05-01,2026-04-06,Hanim,"Cloud, Prod",Synthetic sample data for template robustness
Media,Cloud Compute,GPU/TPU,Media - Cloud Compute GPU/TPU cost line,Fixed,Azure,Marketing,GPT-4.1,Tokyo,Dev,Requests,382.46,0.09134,34.93,419.16,BA-909-To,C049,2025-03-21,2025-09-14,Shakira,"Pilot, SG, Agentic",Synthetic sample data for template robustness
Logistics,Networking,Egress,Logistics - Networking Egress cost line,Fixed,Anthropic,IT / Platform,-,Tokyo,Prod,Images,133.06,0.0131,1.74,20.88,BA-345-To,C050,2025-01-23,2025-10-11,Sourabh,"AI, Prod",Synthetic sample data for template robustness
Retail,Networking,Egress,Retail - Networking Egress cost line,Variable,Azure,Sales,-,Virginia,Stage,GB-Hours,429.94,0.4735,203.58,2442.96,BA-339-Vi,C051,2025-04-29,2025-11-02,Wei Wei,"Security, Prod, AI, Compliance",Synthetic sample data for template robustness
Healthcare,Networking,Egress,Healthcare - Networking Egress cost line,Fixed,OpenAI,Data Science,-,Tokyo,Stage,Requests,374.73,0.08581,32.16,385.92,BA-395-To,C052,2025-02-26,2025-07-27,Hanim,"Compliance, Prod, Agentic, SG",Synthetic sample data for template robustness
Media,Human,Prompt Engineer,Media - Human Prompt Engineer cost line,Variable,OpenAI,IT / Platform,-,-,-,FTE,14,1849.61,25894.54,310734.48,BA-718-XX,C053,2025-02-02,2025-06-08,Sourabh,"AI, Compliance",Synthetic sample data for template robustness
Telecom,Data Platform,Data Warehouse,Telecom - Data Platform Data Warehouse cost line,Fixed,UiPath,HR,-,Sydney,Dev,Requests,218.51,0.12232,26.73,320.76,BA-193-Sy,C054,2025-03-02,2025-09-27,Hanim,"FinOps, Cloud, Prod",Synthetic sample data for template robustness
Healthcare,Platform License,Tuning Studio,Healthcare - Platform License Tuning Studio cost line,Variable,Azure,Supply Chain,-,Virginia,Stage,Seat,25,1397.74,34943.5,419322,BA-565-Vi,C055,2025-01-12,2025-07-31,Vedant,"Cloud, Prod, Pilot",Synthetic sample data for template robustness
QSR,Professional Services,Advisory,QSR - Professional Services Advisory cost line,Fixed,OpenAI,Finance,-,Tokyo,Prod,Seat,12,1575.45,18905.4,226864.8,BA-610-To,C056,2025-03-22,2025-11-10,Sourabh,"Compliance, Agentic",Synthetic sample data for template robustness
Logistics,Human,Prompt Engineer,Logistics - Human Prompt Engineer cost line,Variable,AWS,AI Ops,-,-,-,FTE,23,438.03,10074.69,120896.28,BA-664-XX,C057,2025-01-02,2025-09-20,Hanim,"Security, Cloud",Synthetic sample data for template robustness
Insurance,Data Platform,Data Warehouse,Insurance - Data Platform Data Warehouse cost line,Fixed,Cohere,Service,-,Virginia,Stage,Runs,417.53,0.14706,61.4,736.8,BA-349-Vi,C058,2025-02-28,2025-11-16,Jin,"Security, Agentic, Prod",Synthetic sample data for template robustness
CPG,Platform License,Agent Runtime,CPG - Platform License Agent Runtime cost line,Fixed,Azure,HR,-,Singapore,Stage,Seat,24,781.46,18755.04,225060.48,BA-701-Si,C059,2025-03-16,2025-12-29,Hanim,"Pilot, SG",Synthetic sample data for template robustness
Government,Professional Services,Support,Government - Professional Services Support cost line,Fixed,UiPath,Finance,-,Sydney,Dev,Seat,23,635.07,14606.61,175279.32,BA-492-Sy,C060,2025-01-30,2026-01-04,Hanim,"FinOps, Pilot",Synthetic sample data for template robustness
Banking,Platform License,Tuning Studio,Banking - Platform License Tuning Studio cost line,Variable,UiPath,Marketing,-,Singapore,Dev,Seat,17,2415.12,41057.04,492684.48,BA-439-Si,C061,2025-04-22,2025-09-14,Hanim,"SG, Pilot",Synthetic sample data for template robustness
Government,Platform License,Tuning Studio,Government - Platform License Tuning Studio cost line,Fixed,Anthropic,Marketing,-,Mumbai,Stage,Seat,11,1576.99,17346.89,208162.68,BA-507-Mu,C062,2025-03-25,2025-08-12,Vedant,"SG, Prod, Agentic, FinOps",Synthetic sample data for template robustness
Telecom,Professional Services,Implementation,Telecom - Professional Services Implementation cost line,Fixed,Anthropic,IT / Platform,-,Tokyo,Prod,Seat,22,2306.28,50738.16,608857.92,BA-332-To,C063,2025-04-06,2025-08-27,Hanim,"Cloud, Pilot",Synthetic sample data for template robustness
Media,Cloud Compute,GPU/TPU,Media - Cloud Compute GPU/TPU cost line,Fixed,OpenAI,Risk & Fraud,Claude 3.5 Sonnet,Sydney,Stage,Runs,73.64,0.08014,5.9,70.8,BA-679-Sy,C064,2025-03-29,2026-02-14,Jin,"Agentic, Cloud",Synthetic sample data for template robustness
Logistics,Storage,Object,Logistics - Storage Object cost line,Fixed,Google Cloud,IT / Platform,-,Tokyo,Stage,GB-Hours,127.73,1.5692,200.43,2405.16,BA-109-To,C065,2025-04-26,2026-03-17,Hanim,"SG, Agentic, AI",Synthetic sample data for template robustness
Energy,Networking,Ingress,Energy - Networking Ingress cost line,Fixed,UiPath,Service,-,Sydney,Dev,Runs,426.81,0.01689,7.21,86.52,BA-490-Sy,C066,2025-03-15,2025-10-12,Shakira,"Compliance, AI, Prod",Synthetic sample data for template robustness
QSR,Networking,Egress,QSR - Networking Egress cost line,Variable,OpenAI,IT / Platform,-,Frankfurt,Prod,Runs,416.59,0.13554,56.46,677.52,BA-894-Fr,C067,2025-04-13,2025-10-08,Shakira,"Security, SG, Compliance",Synthetic sample data for template robustness
Healthcare,Model/API,Text Generation,Healthcare - Model/API Text Generation cost line,Fixed,UiPath,Service,GPT-4.1,Frankfurt,Stage,GB-Hours,66.57,5.4623,363.63,4363.56,BA-434-Fr,C068,2025-04-06,2025-11-18,Jin,"Agentic, FinOps",Synthetic sample data for template robustness
Banking,Data Platform,Data Warehouse,Banking - Data Platform Data Warehouse cost line,Fixed,Azure,Supply Chain,-,Virginia,Stage,Tokens,936663.31,0.00001,9.37,112.44,BA-177-Vi,C069,2025-01-19,2025-11-28,Jin,"Prod, FinOps, AI, Security",Synthetic sample data for template robustness
Banking,Professional Services,Implementation,Banking - Professional Services Implementation cost line,Fixed,Databricks,Supply Chain,-,Virginia,Prod,Seat,22,692.3,15230.6,182767.2,BA-490-Vi,C070,2025-04-16,2026-01-24,Vedant,"Security, Pilot",Synthetic sample data for template robustness
Manufacturing,Storage,DB,Manufacturing - Storage DB cost line,Fixed,UiPath,Data Science,-,Virginia,Stage,GB-Hours,204.74,0.8817,180.52,2166.24,BA-138-Vi,C071,2025-02-08,2025-10-12,Sourabh,"Security, Agentic",Synthetic sample data for template robustness
CPG,Observability,Tracing,CPG - Observability Tracing cost line,Variable,Snowflake,HR,-,Frankfurt,Prod,GB-Hours,78.11,2.5186,196.73,2360.76,BA-201-Fr,C072,2025-04-17,2025-12-18,Shakira,"Compliance, AI, FinOps",Synthetic sample data for template robustness
Retail,Human,Product Manager,Retail - Human Product Manager cost line,Variable,Databricks,Sales,-,-,-,FTE,4,2453.27,9813.08,117756.96,BA-476-XX,C073,2025-03-11,2026-02-24,Wei Wei,"AI, Prod, Agentic",Synthetic sample data for template robustness
Media,Human,Prompt Engineer,Media - Human Prompt Engineer cost line,Variable,OpenAI,Sales,-,-,-,FTE,2,1977.65,3955.3,47463.6,BA-349-XX,C074,2025-01-17,2025-12-04,Shakira,"Cloud, Security",Synthetic sample data for template robustness
Retail,Storage,Object,Retail - Storage Object cost line,Fixed,OpenAI,Marketing,-,Sydney,Dev,Images,270.57,0.11998,32.46,389.52,BA-212-Sy,C075,2025-03-26,2026-03-02,Sourabh,"AI, FinOps",Synthetic sample data for template robustness
Media,Cloud Compute,GPU/TPU,Media - Cloud Compute GPU/TPU cost line,Variable,OpenAI,Service,GPT-4o,Virginia,Stage,Requests,57.71,0.01047,0.6,7.2,BA-559-Vi,C076,2025-04-10,2025-11-08,Shakira,"Cloud, Pilot, Compliance, SG",Synthetic sample data for template robustness
Media,Professional Services,Advisory,Media - Professional Services Advisory cost line,Variable,OpenAI,Supply Chain,-,Singapore,Stage,Seat,13,1094.37,14226.81,170721.72,BA-210-Si,C077,2025-03-04,2025-12-31,Hanim,"Cloud, FinOps",Synthetic sample data for template robustness
Manufacturing,Model/API,Vision,Manufacturing - Model/API Vision cost line,Fixed,Cohere,Service,Mixtral 8x7B,Sydney,Stage,Requests,265.75,0.0686,18.23,218.76,BA-719-Sy,C078,2025-02-25,2025-07-20,Wei Wei,"SG, Security",Synthetic sample data for template robustness
Insurance,Storage,Object,Insurance - Storage Object cost line,Fixed,UiPath,Risk & Fraud,-,Mumbai,Stage,GB-Hours,48.45,2.5892,125.45,1505.4,BA-781-Mu,C079,2025-02-02,2025-09-05,Jin,"Pilot, Cloud, AI, Prod",Synthetic sample data for template robustness
CPG,Model/API,Embeddings,CPG - Model/API Embeddings cost line,Variable,Cohere,Marketing,GPT-4.1,Frankfurt,Prod,Requests,165.49,0.01921,3.18,38.16,BA-462-Fr,C080,2025-04-22,2026-02-06,Hanim,"AI, Compliance, Pilot, Agentic",Synthetic sample data for template robustness
Media,Professional Services,Implementation,Media - Professional Services Implementation cost line,Variable,UiPath,Marketing,-,Tokyo,Dev,Seat,12,2121.16,25453.92,305447.04,BA-476-To,C081,2025-01-15,2025-11-26,Vedant,"Security, Prod, Pilot, Compliance",Synthetic sample data for template robustness
Insurance,Networking,Egress,Insurance - Networking Egress cost line,Variable,Azure,Marketing,-,Virginia,Stage,Minutes,176.16,0.02803,4.94,59.28,BA-246-Vi,C082,2025-03-14,2025-12-27,Hanim,"Agentic, AI",Synthetic sample data for template robustness
Telecom,Platform License,Agent Runtime,Telecom - Platform License Agent Runtime cost line,Variable,Databricks,Supply Chain,-,Tokyo,Stage,Seat,10,1817.91,18179.1,218149.2,BA-895-To,C083,2025-05-01,2026-01-21,Shakira,"AI, Agentic",Synthetic sample data for template robustness
Retail,Model/API,Embeddings,Retail - Model/API Embeddings cost line,Fixed,Snowflake,Supply Chain,Claude 3 Opus,Frankfurt,Stage,Runs,137.31,0.11349,15.58,186.96,BA-216-Fr,C084,2025-02-14,2025-10-02,Sourabh,"Pilot, Compliance, AI",Synthetic sample data for template robustness
Healthcare,Cloud Compute,GPU/TPU,Healthcare - Cloud Compute GPU/TPU cost line,Fixed,Azure,Sales,GPT-4o,Tokyo,Stage,Minutes,164.73,0.00215,0.35,4.2,BA-864-To,C085,2025-02-25,2025-08-08,Jin,"SG, Security, Compliance",Synthetic sample data for template robustness
CPG,Model/API,RAG,CPG - Model/API RAG cost line,Variable,Snowflake,AI Ops,GPT-4.1,Mumbai,Dev,Minutes,288.3,0.08644,24.92,299.04,BA-826-Mu,C086,2025-03-23,2025-11-04,Vedant,"Prod, AI",Synthetic sample data for template robustness
CPG,Human,Data Engineer,CPG - Human Data Engineer cost line,Variable,Snowflake,Data Science,-,-,-,FTE,4,646.13,2584.52,31014.24,BA-703-XX,C087,2025-02-21,2025-11-02,Sourabh,"Compliance, FinOps, Cloud",Synthetic sample data for template robustness
Telecom,Model/API,Text Generation,Telecom - Model/API Text Generation cost line,Variable,Cohere,HR,GPT-4o,Sydney,Stage,GB-Hours,479.15,3.8904,1864.09,22369.08,BA-251-Sy,C088,2025-01-31,2025-06-26,Jin,"Security, Agentic, Compliance",Synthetic sample data for template robustness
Energy,Data Platform,Data Warehouse,Energy - Data Platform Data Warehouse cost line,Fixed,UiPath,Supply Chain,-,Virginia,Prod,GB-Hours,318.01,3.7659,1197.59,14371.08,BA-984-Vi,C089,2025-03-22,2025-10-08,Jin,"Cloud, Pilot, Security",Synthetic sample data for template robustness
Logistics,Networking,Egress,Logistics - Networking Egress cost line,Variable,Cohere,Risk & Fraud,-,Singapore,Stage,Runs,226.51,0.00948,2.15,25.8,BA-951-Si,C090,2025-02-06,2025-06-25,Wei Wei,"SG, Prod",Synthetic sample data for template robustness
Government,Human,MLE,Government - Human MLE cost line,Fixed,UiPath,Risk & Fraud,-,-,-,FTE,17,419.61,7133.37,85600.44,BA-163-XX,C091,2025-02-27,2025-07-23,Vedant,"Cloud, Agentic, AI, SG",Synthetic sample data for template robustness
CPG,Human,MLE,CPG - Human MLE cost line,Variable,Databricks,Risk & Fraud,-,-,-,FTE,10,999.17,9991.7,119900.4,BA-893-XX,C092,2025-02-13,2025-12-03,Shakira,"FinOps, Cloud",Synthetic sample data for template robustness
QSR,Professional Services,Support,QSR - Professional Services Support cost line,Fixed,Azure,Finance,-,Sydney,Prod,Seat,22,2412.8,53081.6,636979.2,BA-717-Sy,C093,2025-04-22,2025-09-27,Vedant,"Agentic, FinOps",Synthetic sample data for template robustness
Banking,Data Platform,ETL,Banking - Data Platform ETL cost line,Fixed,Cohere,Service,-,Mumbai,Prod,Minutes,406.78,0.10085,41.02,492.24,BA-948-Mu,C094,2025-04-05,2026-01-25,Shakira,"Prod, FinOps",Synthetic sample data for template robustness
Media,Networking,Egress,Media - Networking Egress cost line,Variable,Databricks,Sales,-,Mumbai,Dev,Images,499.99,0.02409,12.04,144.48,BA-402-Mu,C095,2025-04-19,2026-03-06,Sourabh,"SG, AI, FinOps, Agentic",Synthetic sample data for template robustness
Government,Platform License,Orchestration,Government - Platform License Orchestration cost line,Fixed,Google Cloud,Marketing,-,Virginia,Prod,Seat,6,1816.9,10901.4,130816.8,BA-144-Vi,C096,2025-02-22,2025-09-23,Wei Wei,"Security, Pilot, Compliance, Agentic",Synthetic sample data for template robustness
Retail,Storage,DB,Retail - Storage DB cost line,Variable,Azure,Sales,-,Mumbai,Dev,Minutes,339.48,0.08599,29.19,350.28,BA-551-Mu,C097,2025-03-01,2026-01-11,Vedant,"SG, Prod, Cloud",Synthetic sample data for template robustness
Manufacturing,Networking,Egress,Manufacturing - Networking Egress cost line,Variable,Databricks,Supply Chain,-,Frankfurt,Dev,GB-Hours,423.1,5.1144,2163.9,25966.8,BA-391-Fr,C098,2025-01-11,2025-11-22,Jin,"Pilot, Agentic, Prod",Synthetic sample data for template robustness
Telecom,Storage,Object,Telecom - Storage Object cost line,Variable,OpenAI,Risk & Fraud,-,Mumbai,Dev,Runs,251.5,0.03613,9.09,109.08,BA-183-Mu,C099,2025-02-17,2025-08-13,Sourabh,"Cloud, FinOps, Prod",Synthetic sample data for template robustness
